Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
3,7i,Iron,03/21/2025 16:42:25,111.8,2.2,20.5,5099,-89,5100,157.2,166.7,5.2,31.4,47.0,81.5,80.5,1.37,-2.0,3.2,2.8,0.6,27.0,7,-8,1924.9
4,7i,Iron,03/21/2025 16:42:50,98.4,0.0,19.8,4394,-516,4424,135.9,149.5,-7.7,22.3,41.0,78.7,80.5,1.26,-1.4,1.5,-4.4,-0.7,30.0,-21,-3,2175.7
5,7i,Iron,03/21/2025 16:43:10,102.9,-0.7,19.3,3735,-1085,3889,145.3,160.4,-21.5,23.1,40.5,78.8,78.3,1.31,-0.3,2.7,-7.0,0.8,32.4,-3,-3,2715.8
6,7i,Iron,03/21/2025 16:43:30,100.7,3.3,18.5,5392,719,5440,137.5,150.0,18.1,22.6,41.8,81.2,80.5,1.25,-2.6,3.5,5.1,1.0,28.1,15,-20,1909.0
7,7i,Iron,03/21/2025 16:43:52,111.8,2.0,21.2,5215,-227,5220,155.3,164.4,2.3,32.2,47.7,81.5,80.5,1.36,-1.8,2.7,1.7,0.6,28.0,8,-9,1929.3
8,7i,Iron,03/21/2025 16:44:14,109.6,1.3,19.6,4954,25,4954,153.6,163.9,4.4,28.5,45.1,79.9,80.5,1.37,-3.1,2.0,1.4,-0.2,26.6,5,-6,1615.7
9,7i,Iron,03/21/2025 16:44:40,111.8,-2.3,17.4,4863,-674,4909,157.4,170.5,-18.7,26.2,43.0,80.8,80.5,1.38,-3.0,1.6,-2.1,-0.1,23.7,6,-14,1693.3
10,7i,Iron,03/21/2025 16:44:59,109.6,2.3,19.6,5456,190,5459,152.6,161.0,9.8,29.0,45.5,80.6,80.5,1.36,-2.9,2.3,3.7,0.0,27.4,-4,-9,1445.9
11,6i,Iron,03/21/2025 16:50:28,114.1,3.3,20.1,4603,492,4629,165.9,179.6,20.3,32.7,46.9,82.2,82.8,1.4,-1.6,1.5,3.4,1.4,25.7,3,-10,1907.7
12,6i,Iron,03/21/2025 16:50:51,114.1,1.0,18.5,4554,-230,4560,164.1,182.5,-1.5,29.5,44.4,80.8,82.8,1.41,-1.8,1.5,-0.7,1.1,23.3,-12,-11,2622.3
13,6i,Iron,03/21/2025 16:51:14,114.1,2.1,19.4,4516,458,4539,164.7,178.7,15.9,30.9,45.7,82.1,82.8,1.39,-2.0,1.0,2.8,0.7,24.1,9,-10,1770.3
14,6i,Iron,03/21/2025 16:51:35,118.6,-1.9,17.1,3540,-1219,3744,174.1,190.9,-36.6,27.3,41.7,81.5,82.8,1.45,-1.2,2.0,-4.3,1.3,20.5,-4,-8,2274.2
15,6i,Iron,03/21/2025 16:52:02,109.6,3.7,20.3,4075,565,4114,159.4,174.4,22.9,29.5,44.8,80.6,80.5,1.37,-1.4,1.9,3.9,0.7,27.1,4,-5,1619.8
16,6i,Iron,03/21/2025 16:52:23,114.1,1.8,20.1,4007,139,4009,166.6,182.5,9.0,31.4,45.4,80.7,80.5,1.4,-1.0,1.5,1.4,-0.4,25.3,6,-7,1972.5
17,6i,Iron,03/21/2025 16:52:46,102.9,0.8,7.0,3135,689,3210,114.3,136.9,11.2,5.8,15.7,81.1,80.5,1.27,-2.4,2.2,0.1,1.8,22.7,16,-26,2759.8
18,6i,Iron,03/21/2025 16:53:07,116.3,-1.1,18.0,3633,-772,3714,171.7,188.3,-22.6,28.5,42.7,80.5,80.5,1.44,-0.9,1.3,-3.8,0.4,22.8,2,-7,2360.0
19,6i,Iron,03/21/2025 16:53:28,114.1,3.3,20.0,4313,-105,4314,164.9,181.7,8.6,31.4,45.9,81.5,82.8,1.39,-1.0,3.7,3.4,1.3,25.0,-7,-9,1835.8
20,6i,Iron,03/21/2025 16:53:48,114.1,-0.8,15.7,3366,-630,3424,170.6,187.4,-18.6,23.8,38.2,82.5,82.8,1.39,-2.6,2.5,-0.7,0.7,21.7,-2,-3,1621.7
21,5i,Iron,03/21/2025 16:56:15,118.6,1.5,17.5,2932,-215,2940,182.8,201.1,-1.7,28.2,40.6,83.4,82.8,1.41,-0.2,1.8,1.3,2.9,21.1,1,0,1555.9
22,5i,Iron,03/21/2025 16:56:34,111.8,-1.3,15.1,2357,-570,2425,165.1,185.9,-21.2,19.0,32.2,79.3,0.0,1.4,1.4,0.1,0.0,0.0,0.0,0,0,0.0
23,5i,Iron,03/21/2025 16:58:24,118.6,0.3,16.3,3903,-300,3915,173.8,196.6,-6.7,27.2,41.6,82.9,0.0,1.42,0.4,2.5,0.0,0.0,0.0,0,0,0.0
24,5i,Iron,03/21/2025 16:59:36,118.6,-0.5,16.3,3273,-97,3274,182.3,199.4,-4.7,27.5,40.2,81.1,80.5,1.47,-1.2,-0.3,-1.5,0.9,19.5,4,-4,1749.4
25,5i,Iron,03/21/2025 17:00:08,116.3,3.4,17.3,4343,703,4400,170.4,185.1,26.2,28.9,43.8,83.3,82.8,1.41,-2.2,1.1,2.6,2.4,21.7,5,-10,2421.1
26,5i,Iron,03/21/2025 17:00:36,98.4,0.2,2.8,100,-350,364,20.1,119.9,-0.7,0.3,2.7,82.8,85.0,1.18,-1.5,0.6,-3.8,3.7,20.0,3,-41,3313.8
27,5i,Iron,03/21/2025 17:00:57,111.8,0.1,8.7,3357,117,3359,147.7,168.8,2.7,11.0,24.1,82.0,82.8,1.36,-0.6,1.9,-2.0,1.8,19.9,-4,-22,2719.2
28,5i,Iron,03/21/2025 17:01:15,116.3,1.5,15.5,4181,270,4190,167.3,182.2,10.5,24.9,40.5,83.0,85.0,1.39,-1.7,0.5,-0.2,1.5,21.1,-10,-13,2281.5
29,5i,Iron,03/21/2025 17:01:35,116.3,-0.6,15.7,3314,-638,3375,171.6,188.3,-18.4,23.9,38.4,83.6,85.0,1.38,-0.9,1.0,-3.1,2.3,19.2,-19,-5,2175.6
30,5i,Iron,03/21/2025 17:01:56,120.8,-1.4,13.6,3543,-766,3625,178.4,195.1,-24.6,23.2,37.5,83.7,85.0,1.44,-1.5,2.5,-2.5,0.4,17.1,-8,-9,2052.3
31,5i,Iron,03/21/2025 17:02:20,116.3,2.2,17.4,3210,-303,3224,179.3,202.0,1.5,28.2,41.2,83.4,85.0,1.41,-0.5,2.3,1.3,1.0,21.9,-7,-3,2020.7
32,5i,Iron,03/21/2025 17:02:44,118.6,0.3,15.7,3093,-205,3100,179.6,202.8,-5.4,25.2,38.5,84.4,85.0,1.4,-1.5,1.0,-0.5,1.7,22.2,1,-1,1408.8
33,5i,Iron,03/21/2025 17:03:14,116.3,2.5,17.3,4457,390,4474,169.7,184.5,16.5,29.0,43.9,85.7,87.2,1.36,0.3,2.6,2.7,2.2,23.6,-4,-15,2120.2
34,5i,Iron,03/21/2025 17:09:23,116.3,2.5,19.2,3767,415,3790,175.0,191.0,18.9,31.9,45.0,83.2,85.0,1.41,-0.2,0.2,1.2,2.6,23.5,-8,-6,2200.0
35,5i,Iron,03/21/2025 17:09:41,118.6,2.6,18.0,4432,885,4519,170.4,185.1,27.4,30.3,44.9,84.3,85.0,1.4,-1.7,-0.4,2.4,1.8,22.9,5,-11,2020.7
36,5i,Iron,03/21/2025 17:10:16,114.1,-1.5,17.2,2616,-1105,2840,169.9,188.3,-36.2,23.5,37.4,81.6,82.8,1.4,1.6,2.0,-2.5,1.0,23.5,-9,-4,1356.5
37,5i,Iron,03/21/2025 17:10:38,116.3,1.9,14.6,3349,-29,3349,173.6,198.1,6.0,22.9,37.2,81.0,80.5,1.44,-1.0,3.8,1.2,1.4,18.8,7,-10,1906.1
38,5i,Iron,03/21/2025 17:10:58,118.6,1.9,16.5,3731,162,3735,176.1,193.7,10.7,27.6,41.6,84.1,85.0,1.4,-2.3,0.3,2.0,0.4,19.5,-11,-3,1802.1
